id,type,language,icon,title,description,prompt,aspectRatio,slideCount,amount,audience,scenario,theme,status
40000000-0000-4000-8000-000000000001,1,5,chart,Relatório de resultados trimestrais,"Números, metas batidas e próximos passos pro time e liderança","Crie uma apresentação de relatório de resultados do trimestre, com números de vendas, metas atingidas, principais aprendizados e próximos passos",0,8,2,1,4,3,0
40000000-0000-4000-8000-000000000002,1,5,idea,Pitch de startup,"Problema, solução, mercado e oportunidade pra investidores","Crie um pitch deck de startup apresentando o problema, a solução, o tamanho de mercado, o modelo de negócio e a oportunidade de investimento",0,8,2,2,1,5,0
40000000-0000-4000-8000-000000000003,1,5,sales,Metas do time pro próximo ciclo,"Objetivos, indicadores e responsáveis de forma clara","Crie uma apresentação com as metas do time para o próximo trimestre, incluindo objetivos, indicadores de sucesso e responsáveis por cada frente",0,5,1,1,0,7,0
40000000-0000-4000-8000-000000000004,0,5,briefcase,Proposta comercial,"Uma página objetiva com oferta, valor e próximo passo","Crie uma proposta comercial em uma única página, destacando a oferta, o valor entregue ao cliente e o próximo passo pra fechar negócio",0,1,0,1,1,0,0
40000000-0000-4000-8000-000000000005,1,5,graduation,Aula introdutória sobre um tema,"Conceitos explicados passo a passo, com exemplos","Crie uma aula introdutória explicando os conceitos fundamentais de um tema, em progressão lógica, com exemplos práticos pra cada conceito",0,12,3,4,2,2,0
40000000-0000-4000-8000-000000000006,1,5,shipped,Lançamento de produto,"Anúncio de feature ou produto novo, com destaque visual","Crie uma apresentação de lançamento de um produto novo, destacando os principais diferenciais, benefícios pro usuário e chamada pra ação",0,8,2,0,1,6,0
40000000-0000-4000-8000-000000000007,0,5,advertising,Campanha de marketing,Resumo visual de uma campanha em uma página só,"Crie um resumo visual de uma campanha de marketing, com o público-alvo, a mensagem principal e os canais de divulgação",3,1,0,0,1,8,0
40000000-0000-4000-8000-000000000008,1,5,planner,Planejamento estratégico anual,"Diagnóstico, prioridades e plano de ação do ano","Crie um planejamento estratégico anual com diagnóstico do cenário atual, prioridades definidas e um plano de ação com marcos principais",0,12,3,1,3,9,0
40000000-0000-4000-8000-000000000009,1,5,process,Retrospectiva de sprint ou projeto,"O que funcionou, o que não funcionou e o que muda no próximo ciclo","Crie uma retrospectiva de sprint ou projeto, cobrindo o que funcionou bem, o que não funcionou e ações concretas de melhoria pro próximo ciclo",0,8,2,1,3,2,0
40000000-0000-4000-8000-000000000010,1,5,collaboration,Onboarding de novos funcionários,"Cultura, ferramentas e primeiros passos pra quem está chegando","Crie uma apresentação de onboarding pra novos funcionários, cobrindo cultura da empresa, ferramentas usadas no dia a dia e os primeiros passos na função",0,8,2,0,2,7,0
